metric,FY2025,FY2024,FY2023,FY2022,FY2021
Free Cash Flow,-2461000000.0,-26945000000.0,-9958000000.0,22263000000.0,
Repurchase Of Capital Stock,-154000000.0,-362000000.0,-2634000000.0,-6547000000.0,
Repayment Of Debt,-73197000000.0,-82457000000.0,-52970000000.0,-52419000000.0,
Issuance Of Debt,89273000000.0,57610000000.0,59498000000.0,71687000000.0,
Issuance Of Capital Stock,,0.0,0.0,48000000.0,5000000.0
Capital Expenditure,-1636000000.0,-1322000000.0,-1568000000.0,-977000000.0,
End Cash Position,54381000000.0,47321000000.0,107172000000.0,119355000000.0,
Beginning Cash Position,47321000000.0,107172000000.0,119355000000.0,87380000000.0,
Effect Of Exchange Rate Changes,623000000.0,138000000.0,828000000.0,355000000.0,
Changes In Cash,6437000000.0,-59989000000.0,-13011000000.0,31620000000.0,
Financing Cash Flow,7591000000.0,-33252000000.0,-3748000000.0,5711000000.0,
Net Other Financing Charges,,,,,153000000.0
Cash Dividends Paid,-7949000000.0,-7623000000.0,-7117000000.0,-6535000000.0,
Common Stock Dividend Paid,-7949000000.0,-7623000000.0,-7117000000.0,-6535000000.0,
Net Common Stock Issuance,-154000000.0,-362000000.0,-2634000000.0,-6499000000.0,
Common Stock Payments,-154000000.0,-362000000.0,-2634000000.0,-6547000000.0,
Common Stock Issuance,,0.0,0.0,48000000.0,5000000.0
Net Issuance Payments Of Debt,16076000000.0,-24847000000.0,6528000000.0,19268000000.0,
Net Long Term Debt Issuance,16076000000.0,-24847000000.0,6528000000.0,19268000000.0,
Long Term Debt Payments,-73197000000.0,-82457000000.0,-52970000000.0,-52419000000.0,
Long Term Debt Issuance,89273000000.0,57610000000.0,59498000000.0,71687000000.0,
Investing Cash Flow,-329000000.0,-1114000000.0,-873000000.0,2669000000.0,
Dividends Received Cfi,138000000.0,94000000.0,95000000.0,30000000.0,
Net Business Purchase And Sale,128000000.0,89000000.0,526000000.0,3508000000.0,
Sale Of Business,156000000.0,123000000.0,567000000.0,3764000000.0,
Purchase Of Business,-28000000.0,-34000000.0,-41000000.0,-256000000.0,
Net Intangibles Purchase And Sale,-1158000000.0,-921000000.0,-885000000.0,-746000000.0,
Purchase Of Intangibles,-1158000000.0,-921000000.0,-885000000.0,-746000000.0,
Net PPE Purchase And Sale,563000000.0,-376000000.0,-609000000.0,-123000000.0,
Sale Of PPE,1041000000.0,25000000.0,74000000.0,108000000.0,
Purchase Of PPE,-478000000.0,-401000000.0,-683000000.0,-231000000.0,
Operating Cash Flow,-825000000.0,-25623000000.0,-8390000000.0,23240000000.0,
Change In Working Capital,,,-21195000000.0,13460000000.0,31498000000.0
Change In Other Current Liabilities,,,44000000.0,-35000000.0,-338000000.0
Change In Other Current Assets,,,-943000000.0,-795000000.0,185000000.0
Change In Accrued Expense,,,406000000.0,-391000000.0,327000000.0
Other Non Cash Items,,,1850000000.0,1607000000.0,-519000000.0
Provisionand Write Offof Assets,,,400000000.0,-478000000.0,699000000.0
Deferred Tax,,,-244000000.0,-1043000000.0,-518000000.0
Depreciation And Amortization,,,1110000000.0,1518000000.0,1426000000.0
Depreciation,,,1110000000.0,1518000000.0,1426000000.0
Gain Loss On Investment Securities,,,-1000000.0,-4000000.0,-39000000.0
Gain Loss On Sale Of PPE,,,4000000.0,-12000000.0,4000000.0
Gain Loss On Sale Of Business,,,-291000000.0,-2079000000.0,-840000000.0
Net Income From Continuing Operations,,,10090000000.0,10771000000.0,10181000000.0
Cash Flowsfromusedin Operating Activities Direct,-825000000.0,-25623000000.0,-8390000000.0,23240000000.0,
Classesof Cash Payments,-182624000000.0,-184662000000.0,-192312000000.0,-156318000000.0,
Other Cash Paymentsfrom Operating Activities,-60709000000.0,-93820000000.0,-83873000000.0,-48471000000.0,
Classesof Cash Receiptsfrom Operating Activities,181799000000.0,159039000000.0,183922000000.0,179558000000.0,
Other Cash Receiptsfrom Operating Activities,4069000000.0,3548000000.0,3467000000.0,4260000000.0,
